id,date,price,post_code_group
2,2013-01-01,295000,N16
3,2013-01-01,740000,SW17
5,2013-02-01,310000,NW4
6,2013-02-01,500000,NW7
7,2013-02-01,422000,NW9
8,2013-02-01,183000,NW10
9,2013-02-01,135000,NW10
15,2013-02-01,775000,NW3
16,2013-02-01,470000,WC1E
17,2013-02-01,209000,WC1H
18,2013-02-01,312100,WC1H
19,2013-02-01,296775,WC1H
20,2013-02-01,209475,WC1H
21,2013-02-01,226450,WC1H
22,2013-02-01,211000,WC1H
25,2013-02-01,3850000,WC2E
26,2013-02-01,470000,SE19
32,2013-02-01,500000,N14
33,2013-02-01,200500,SE9
34,2013-02-01,306890,N1
35,2013-02-01,774950,SW6
42,2013-02-01,312500,N5
43,2013-02-01,240000,SW10
44,2013-02-01,1250000,SW7
47,2013-02-01,110000,SW2
48,2013-02-01,224000,SE14
49,2013-02-01,210000,SE23
50,2013-02-01,250000,SE4
51,2013-02-01,455000,SW20
55,2013-02-01,250000,SE5
59,2013-02-01,520000,SW11
60,2013-02-01,360000,SW12
61,2013-02-01,328250,SW12
62,2013-02-01,585000,SW12
63,2013-02-01,450000,SW12
64,2013-02-01,280000,SW17
65,2013-02-01,460000,SW18
66,2013-02-01,370000,SW18
73,2013-03-01,695000,N3
74,2013-03-01,300000,NW7
75,2013-03-01,240000,NW7
76,2013-03-01,640000,NW7
80,2013-03-01,322500,NW10
92,2013-03-01,282500,SE20
93,2013-03-01,730000,NW3
94,2013-03-01,300000,NW5
95,2013-03-01,211900,WC1H
96,2013-03-01,460000,SW1P
107,2013-03-01,315000,SE19
108,2013-03-01,315000,SE25
121,2013-03-01,249000,N18
122,2013-03-01,235000,N21
123,2013-03-01,230000,N9
124,2013-03-01,230000,SE18
125,2013-03-01,113000,SE2
127,2013-03-01,935000,N1
128,2013-03-01,750000,N16
129,2013-03-01,725000,N16
130,2013-03-01,275000,N4
131,2013-03-01,985000,SW6
134,2013-03-01,825000,N10
135,2013-03-01,128000,N17
136,2013-03-01,362000,N22
137,2013-03-01,215000,N22
138,2013-03-01,337500,N22
139,2013-03-01,435000,N22
140,2013-03-01,375000,N22
141,2013-03-01,413500,N6
142,2013-03-01,210000,N8
155,2013-03-01,320500,EC1V
156,2013-03-01,1097000,EC1V
157,2013-03-01,755000,EC1Y
158,2013-03-01,1100000,N1
159,2013-03-01,425000,N1
160,2013-03-01,412000,N1
161,2013-03-01,420000,N1
162,2013-03-01,690000,N1
163,2013-03-01,415000,N19
164,2013-03-01,480000,N7
165,2013-03-01,289950,N7
166,2013-03-01,439950,N7
167,2013-03-01,479950,N7
168,2013-03-01,860000,SW5
169,2013-03-01,465000,SW5
174,2013-03-01,317500,SE24
175,2013-03-01,750000,SE24
176,2013-03-01,185000,SW16
177,2013-03-01,233000,SW16
178,2013-03-01,274000,SW16
179,2013-03-01,182000,SW16
180,2013-03-01,340000,SW2
181,2013-03-01,290000,SW2
182,2013-03-01,642525,SW2
183,2013-03-01,425000,SW4
184,2013-03-01,357000,SW8
185,2013-03-01,372000,SW9
186,2013-03-01,299950,SW9
188,2013-03-01,212000,SE12
189,2013-03-01,215000,SE13
190,2013-03-01,487500,SE23
191,2013-03-01,485000,SE3
192,2013-03-01,235000,SE4
193,2013-03-01,263000,SE6
194,2013-03-01,245000,SE6
195,2013-03-01,250000,SE8
198,2013-03-01,221000,SW20
205,2013-03-01,249950,SW14
214,2013-03-01,318000,SE1
215,2013-03-01,265000,SE1
216,2013-03-01,685000,SE1
217,2013-03-01,281000,SE15
218,2013-03-01,310000,SE15
219,2013-03-01,450000,SE22
220,2013-03-01,240000,SE5
221,2013-03-01,163000,SE5
232,2013-03-01,250000,SW11
233,2013-03-01,262500,SW11
234,2013-03-01,691798,SW11
235,2013-03-01,1036205,SW11
236,2013-03-01,1051605,SW11
237,2013-03-01,365000,SW12
238,2013-03-01,265000,SW17
239,2013-03-01,295000,SW17
240,2013-03-01,645000,SW17
241,2013-03-01,549950,SW18
242,2013-03-01,335000,SW18
243,2013-03-01,305000,SW8
257,2013-04-01,156000,N10
258,2013-04-01,205000,N12
259,2013-04-01,240000,N12
260,2013-04-01,685000,N2
261,2013-04-01,195000,N20
262,2013-04-01,1000000,N20
263,2013-04-01,585000,N3
264,2013-04-01,1280000,N3
265,2013-04-01,405000,N3
266,2013-04-01,1076000,NW11
267,2013-04-01,860000,NW11
268,2013-04-01,187500,NW2
269,2013-04-01,910000,NW4
270,2013-04-01,435000,NW7
271,2013-04-01,250000,NW9
272,2013-04-01,250000,NW9
273,2013-04-01,184950,NW9
