post_code_group,newbuild_sale_no,oldbuild_sale_no,newbuild_avg_price,oldbuild_avg_price
EC1A,0,51,NULL,617222.9412
EC1M,0,73,NULL,833067.0411
EC1N,4,53,594999.5000,657724.1509
EC1R,24,121,754791.6667,753222.3306
EC1V,49,394,702598.9796,647454.0558
EC1Y,10,87,1089500.0000,607331.9425
EC2A,58,77,688828.3103,761239.9740
EC2M,1,10,1999999.0000,1065110.0000
EC2R,0,1,NULL,775000.0000
EC2Y,251,184,895245.9960,810093.4185
EC3A,0,3,NULL,514983.3333
EC3N,0,15,NULL,545680.0000
EC3R,8,11,888531.2500,590972.7273
EC3V,0,3,NULL,691633.3333
EC4A,21,25,851434.0476,656582.7600
EC4M,1,13,497200.0000,796536.1538
EC4R,1,4,1950000.0000,706000.2500
EC4V,8,46,1106656.2500,912997.6087
EC4Y,0,22,NULL,677861.3636
N1,451,2077,537739.1153,696561.1088
N10,43,819,551541.8605,638325.4737
N11,14,680,350160.7143,370799.2147
N12,31,722,455933.7097,443199.5249
N13,11,676,329954.5455,361186.4778
N14,55,636,326611.8182,437736.8239
N15,10,666,225625.0000,322118.1306
N16,43,1156,381547.6977,483006.5675
N17,56,827,224869.2321,263876.7533
N18,2,413,76937.5000,225914.7167
N19,65,738,422695.9077,526377.4756
N1C,79,6,880204.7342,1089166.6667
N2,13,605,480496.1538,869664.6860
N20,20,534,458503.2500,630554.9888
N21,24,705,457489.5833,481962.6383
N22,7,896,266978.5714,380835.6306
N3,15,629,780433.3333,608441.0223
N4,134,1104,445038.1269,462917.5344
N5,218,770,606256.3761,690239.3000
N6,6,671,629208.3333,1058166.5306
N7,330,1036,437702.1667,466770.2519
N8,18,1167,487775.0000,537010.1620
N9,4,849,287500.0000,225400.8775
NW1,116,1183,892218.2759,964142.5714
NW10,130,1397,312465.5385,481408.5233
NW11,28,728,706303.3929,938442.7129
NW2,85,1371,362848.9059,524432.5463
NW3,52,1566,1311929.1923,1235140.9336
NW4,17,698,526323.5294,454665.3266
NW5,57,572,680598.0702,703114.5052
NW6,92,1850,538232.5435,692871.1486
NW7,130,683,792329.4769,510249.9649
NW8,23,878,2842282.5652,1339386.4886
NW9,722,964,287399.2562,300783.4222
SE1,192,1783,911285.2448,577440.3073
SE10,890,959,481567.8888,486763.4171
SE11,34,390,599381.1471,505807.6718
SE12,17,835,244070.5882,318768.5437
SE13,216,1487,298812.7778,336692.8265
SE14,24,604,272978.7500,320417.4404
SE15,51,1426,347143.6078,373477.6066
SE16,635,1319,393700.7937,392543.3950
SE17,76,498,297571.3684,340386.3715
SE18,244,1641,299242.0984,238836.0475
SE19,55,1145,414291.3455,318643.8279
SE2,5,413,263400.0000,217905.1259
SE20,71,787,222056.8310,277363.8399
SE21,3,442,430000.0000,671795.7104
SE22,21,1148,474842.7143,541483.1638
SE23,33,1307,332065.1515,386344.7307
SE24,2,534,522625.0000,619252.0094
SE25,117,1037,231440.5385,231872.5670
SE26,14,909,267233.5714,345386.7580
SE27,41,660,391790.2439,365357.4955
SE28,0,503,NULL,180616.7515
SE3,242,1141,408481.0620,480954.3032
SE4,29,816,303131.5517,396318.0650
SE5,92,965,455337.8043,410311.1192
SE6,63,1253,240673.7937,283313.9393
SE7,119,467,255114.9496,334779.9143
SE8,386,578,367670.4067,292550.2820
SE9,101,1657,296517.3267,300253.5275
SW10,6,716,855531.0000,1421227.5084
SW11,151,2534,638871.1457,731223.3804
SW12,111,1304,479565.4324,662334.4494
SW13,8,542,1015000.0000,1271742.6365
SW14,6,648,836658.3333,853394.5355
SW15,249,2009,638197.2329,674503.2170
SW16,302,2537,322000.0662,366249.7596
SW17,75,2021,422595.1333,517128.7699
SW18,558,2680,543642.6272,635245.3384
SW19,43,2878,867673.2558,653689.8992
SW1A,0,23,NULL,2804199.4783
SW1E,0,43,NULL,1472380.7442
SW1H,0,40,NULL,783373.7250
SW1P,112,403,1557220.9643,1011110.0819
SW1V,15,626,882133.0667,860769.7093
SW1W,45,331,4621800.0000,2474108.2145
SW1X,10,278,7827250.0000,3948642.5863
SW1Y,0,22,NULL,2163899.7727
SW2,47,1700,314525.9362,420288.5047
SW20,34,1036,1061980.8824,590681.1100
SW3,24,924,6377258.5000,2168536.3539
SW4,124,1279,671053.5887,658630.4105
SW5,14,580,697358.8571,1161169.2259
SW6,186,2356,1133365.0269,998425.0509
SW7,6,684,19828333.3333,2243507.0746
SW8,239,848,1505842.2427,559141.4458
SW9,305,1039,344731.1279,426129.4196
WC1A,0,19,NULL,738260.5263
WC1B,0,23,NULL,1608326.0435
WC1E,0,38,NULL,871276.2895
WC1H,109,199,485299.9908,423975.2814
WC1N,15,101,1119000.0000,933721.6238
WC1R,14,14,882887.7143,794853.5714
WC1V,0,4,NULL,1040000.0000
WC1X,2,130,775000.0000,633916.8538
WC2B,1,36,2600000.0000,1021086.8333
WC2E,15,31,2712130.0000,1729560.4194
WC2H,10,45,3655420.0000,948890.5556
WC2N,5,36,1566999.8000,1735961.0278
WC2R,59,22,1115664.3390,1880974.5909
