post_code_group,whether_newbuild,avg_price,sales_no
EC1A,N,617222.9412,51
EC1M,N,833067.0411,73
EC1N,N,657724.1509,53
EC1R,N,753222.3306,121
EC1R,Y,754791.6667,24
EC1V,N,647454.0558,394
EC1V,Y,702598.9796,49
EC1Y,N,607331.9425,87
EC1Y,Y,1089500.0000,10
EC2A,N,761239.9740,77
EC2A,Y,688828.3103,58
EC2M,N,1065110.0000,10
EC2Y,N,810093.4185,184
EC2Y,Y,895245.9960,251
EC3N,N,545680.0000,15
EC3R,N,590972.7273,11
EC3R,Y,888531.2500,8
EC4A,N,656582.7600,25
EC4A,Y,851434.0476,21
EC4M,N,796536.1538,13
EC4V,N,912997.6087,46
EC4V,Y,1106656.2500,8
EC4Y,N,677861.3636,22
N1,N,696561.1088,2077
N1,Y,537739.1153,451
N10,N,638325.4737,819
N10,Y,551541.8605,43
N11,N,370799.2147,680
N11,Y,350160.7143,14
N12,N,443199.5249,722
N12,Y,455933.7097,31
N13,N,361186.4778,676
N13,Y,329954.5455,11
N14,N,437736.8239,636
N14,Y,326611.8182,55
N15,N,322118.1306,666
N15,Y,225625.0000,10
N16,N,483006.5675,1156
N16,Y,381547.6977,43
N17,N,263876.7533,827
N17,Y,224869.2321,56
N18,N,225914.7167,413
N19,N,526377.4756,738
N19,Y,422695.9077,65
N1C,N,1089166.6667,6
N1C,Y,880204.7342,79
N2,N,869664.6860,605
N2,Y,480496.1538,13
N20,N,630554.9888,534
N20,Y,458503.2500,20
N21,N,481962.6383,705
N21,Y,457489.5833,24
N22,N,380835.6306,896
N22,Y,266978.5714,7
N3,N,608441.0223,629
N3,Y,780433.3333,15
N4,N,462917.5344,1104
N4,Y,445038.1269,134
N5,N,690239.3000,770
N5,Y,606256.3761,218
N6,N,1058166.5306,671
N6,Y,629208.3333,6
N7,N,466770.2519,1036
N7,Y,437702.1667,330
N8,N,537010.1620,1167
N8,Y,487775.0000,18
N9,N,225400.8775,849
NW1,N,964142.5714,1183
NW1,Y,892218.2759,116
NW10,N,481408.5233,1397
NW10,Y,312465.5385,130
NW11,N,938442.7129,728
NW11,Y,706303.3929,28
NW2,N,524432.5463,1371
NW2,Y,362848.9059,85
NW3,N,1235140.9336,1566
NW3,Y,1311929.1923,52
NW4,N,454665.3266,698
NW4,Y,526323.5294,17
NW5,N,703114.5052,572
NW5,Y,680598.0702,57
NW6,N,692871.1486,1850
NW6,Y,538232.5435,92
NW7,N,510249.9649,683
NW7,Y,792329.4769,130
NW8,N,1339386.4886,878
NW8,Y,2842282.5652,23
NW9,N,300783.4222,964
NW9,Y,287399.2562,722
SE1,N,577440.3073,1783
SE1,Y,911285.2448,192
SE10,N,486763.4171,959
SE10,Y,481567.8888,890
SE11,N,505807.6718,390
SE11,Y,599381.1471,34
SE12,N,318768.5437,835
SE12,Y,244070.5882,17
SE13,N,336692.8265,1487
SE13,Y,298812.7778,216
SE14,N,320417.4404,604
SE14,Y,272978.7500,24
SE15,N,373477.6066,1426
SE15,Y,347143.6078,51
SE16,N,392543.3950,1319
SE16,Y,393700.7937,635
SE17,N,340386.3715,498
SE17,Y,297571.3684,76
SE18,N,238836.0475,1641
SE18,Y,299242.0984,244
SE19,N,318643.8279,1145
SE19,Y,414291.3455,55
SE2,N,217905.1259,413
SE20,N,277363.8399,787
SE20,Y,222056.8310,71
SE21,N,671795.7104,442
SE22,N,541483.1638,1148
SE22,Y,474842.7143,21
SE23,N,386344.7307,1307
SE23,Y,332065.1515,33
SE24,N,619252.0094,534
SE25,N,231872.5670,1037
SE25,Y,231440.5385,117
SE26,N,345386.7580,909
SE26,Y,267233.5714,14
SE27,N,365357.4955,660
SE27,Y,391790.2439,41
SE28,N,180616.7515,503
SE3,N,480954.3032,1141
SE3,Y,408481.0620,242
SE4,N,396318.0650,816
SE4,Y,303131.5517,29
SE5,N,410311.1192,965
SE5,Y,455337.8043,92
SE6,N,283313.9393,1253
SE6,Y,240673.7937,63
SE7,N,334779.9143,467
SE7,Y,255114.9496,119
SE8,N,292550.2820,578
SE8,Y,367670.4067,386
SE9,N,300253.5275,1657
SE9,Y,296517.3267,101
SW10,N,1421227.5084,716
SW10,Y,855531.0000,6
